,RunId,iteration,Step,width,height,N,boxeCells,max_steps,boxe cells,Clean cells,Percent boxe cells,Percent clean cells,Total moves,Vacuum 0,Vacuum 1,Vacuum 2,Vacuum 3,Vacuum 4,AgentID,Cells cleaned,Moves
0,1,0,0,10,10,5,11,200,11,89,11.0,89.0,0,0,0,0,0,0,"(1, 1)",0,0
1,1,0,0,10,10,5,11,200,11,89,11.0,89.0,0,0,0,0,0,0,"(1, 9)",0,0
2,1,0,0,10,10,5,11,200,11,89,11.0,89.0,0,0,0,0,0,0,"(9, 1)",0,0
3,1,0,0,10,10,5,11,200,11,89,11.0,89.0,0,0,0,0,0,0,"(9, 9)",0,0
4,1,0,0,10,10,5,11,200,11,89,11.0,89.0,0,0,0,0,0,0,0,0,0
5,1,0,0,10,10,5,11,200,11,89,11.0,89.0,0,0,0,0,0,0,1,0,0
6,1,0,0,10,10,5,11,200,11,89,11.0,89.0,0,0,0,0,0,0,2,0,0
7,1,0,0,10,10,5,11,200,11,89,11.0,89.0,0,0,0,0,0,0,3,0,0
8,1,0,0,10,10,5,11,200,11,89,11.0,89.0,0,0,0,0,0,0,4,0,0
9,1,0,1,10,10,5,11,200,11,89,11.0,89.0,0,0,0,0,0,0,"(1, 1)",0,0
10,1,0,1,10,10,5,11,200,11,89,11.0,89.0,0,0,0,0,0,0,"(1, 9)",0,0
11,1,0,1,10,10,5,11,200,11,89,11.0,89.0,0,0,0,0,0,0,"(9, 1)",0,0
12,1,0,1,10,10,5,11,200,11,89,11.0,89.0,0,0,0,0,0,0,"(9, 9)",0,0
13,1,0,1,10,10,5,11,200,11,89,11.0,89.0,0,0,0,0,0,0,0,0,0
14,1,0,1,10,10,5,11,200,11,89,11.0,89.0,0,0,0,0,0,0,1,0,0
15,1,0,1,10,10,5,11,200,11,89,11.0,89.0,0,0,0,0,0,0,2,0,0
16,1,0,1,10,10,5,11,200,11,89,11.0,89.0,0,0,0,0,0,0,3,0,0
17,1,0,1,10,10,5,11,200,11,89,11.0,89.0,0,0,0,0,0,0,4,0,0
18,1,0,2,10,10,5,11,200,11,89,11.0,89.0,0,0,0,0,0,0,"(1, 1)",0,0
19,1,0,2,10,10,5,11,200,11,89,11.0,89.0,0,0,0,0,0,0,"(1, 9)",0,0
20,1,0,2,10,10,5,11,200,11,89,11.0,89.0,0,0,0,0,0,0,"(9, 1)",0,0
21,1,0,2,10,10,5,11,200,11,89,11.0,89.0,0,0,0,0,0,0,"(9, 9)",0,0
22,1,0,2,10,10,5,11,200,11,89,11.0,89.0,0,0,0,0,0,0,0,0,0
